1 crown-3.pgm crown-3.pgm Heart-4.pgm device6-12.pgm HCircle-10.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm cup-12.pgm lmfish-2.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm shoe-2.pgm sea_snake-15.pgm shoe-13.pgm Heart-6.pgm Bone-19.pgm device2-13.pgm
1 carriage-05.pgm carriage-05.pgm Heart-8.pgm horseshoe-15.pgm device1-2.pgm sea_snake-15.pgm cellular_phone-8.pgm device5-7.pgm Comma-16.pgm HCircle-6.pgm shoe-3.pgm device4-2.pgm Bone-19.pgm shoe-12.pgm spring-1.pgm device7-17.pgm Bone-16.pgm shoe-14.pgm Misk-5.pgm HCircle-11.pgm cellular_phone-3.pgm
1 truck-03.pgm truck-03.pgm beetle-9.pgm device1-4.pgm device1-19.pgm device7-10.pgm cup-2.pgm device0-9.pgm device1-14.pgm fountain-10.pgm face-5.pgm beetle-14.pgm teddy-20.pgm lizzard-15.pgm elephant-3.pgm elephant-5.pgm device0-10.pgm device5-13.pgm hat-16.pgm device0-13.pgm horseshoe-15.pgm
1 lmfish-16.pgm lmfish-16.pgm shoe-13.pgm Heart-8.pgm device2-11.pgm key-7.pgm device4-14.pgm bat-17.pgm tree-8.pgm jar-17.pgm device1-2.pgm jar-1.pgm jar-2.pgm device3-14.pgm device8-10.pgm fork-1.pgm device1-17.pgm jar-18.pgm device6-9.pgm device4-5.pgm cup-7.pgm
1 deer-3.pgm deer-3.pgm deer-4.pgm deer-2.pgm deer-1.pgm deer-5.pgm pocket-15.pgm bird-6.pgm deer-10.pgm lizzard-18.pgm lizzard-17.pgm deer-7.pgm cattle-11.pgm deer-6.pgm cattle-10.pgm deer-11.pgm bird-5.pgm butterfly-3.pgm horse-10.pgm cattle-2.pgm deer-20.pgm
1 Heart-4.pgm crown-3.pgm Heart-4.pgm device6-12.pgm HCircle-10.pgm face-7.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm Glas-6.pgm cup-12.pgm lmfish-2.pgm ray-2.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm device9-18.pgm shoe-2.pgm device1-4.pgm
1 stef-06.pgm stef-06.pgm bat-15.pgm horse-14.pgm camel-19.pgm Bone-20.pgm Glas-2.pgm bat-16.pgm device8-10.pgm watch-14.pgm Misk-12.pgm personal_car-13.pgm cellular_phone-5.pgm Comma-2.pgm device6-20.pgm spring-18.pgm bat-10.pgm device4-7.pgm device4-9.pgm Comma-10.pgm personal_car-20.pgm
1 device6-12.pgm crown-3.pgm Heart-4.pgm device6-12.pgm HCircle-10.pgm face-7.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm Glas-6.pgm cup-12.pgm lmfish-2.pgm ray-2.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm device9-18.pgm shoe-2.pgm device1-4.pgm
1 stef-10.pgm stef-10.pgm pencil-19.pgm beetle-4.pgm pencil-9.pgm HCircle-15.pgm watch-17.pgm guitar-1.pgm dog-19.pgm sea_snake-17.pgm hammer-1.pgm fork-16.pgm pencil-16.pgm HCircle-14.pgm key-13.pgm key-3.pgm device6-13.pgm device4-19.pgm horse-19.pgm camel-3.pgm tree-9.pgm
1 pencil-16.pgm pencil-16.pgm face-7.pgm sea_snake-11.pgm device7-6.pgm Glas-6.pgm lmfish-2.pgm ray-2.pgm sea_snake-15.pgm shoe-13.pgm device0-15.pgm spoon-5.pgm Bone-19.pgm flatfish-18.pgm elephant-15.pgm cellular_phone-3.pgm camel-4.pgm cellular_phone-8.pgm Comma-14.pgm device5-7.pgm HCircle-15.pgm
1 octopus-6.pgm octopus-6.pgm device7-17.pgm device7-5.pgm device7-16.pgm device7-7.pgm device2-7.pgm device7-14.pgm device2-15.pgm device3-9.pgm device8-4.pgm cup-6.pgm watch-17.pgm device9-10.pgm device2-14.pgm device4-7.pgm device8-20.pgm Glas-6.pgm pencil-10.pgm crown-1.pgm Heart-20.pgm
1 chicken-20.pgm chicken-20.pgm chicken-12.pgm beetle-4.pgm beetle-2.pgm chicken-1.pgm horse-14.pgm elephant-9.pgm horse-8.pgm horse-7.pgm guitar-11.pgm turtle-4.pgm chicken-15.pgm horse-11.pgm pocket-12.pgm horse-12.pgm bird-7.pgm cattle-16.pgm deer-13.pgm elephant-13.pgm butterfly-2.pgm
1 truck-15.pgm truck-15.pgm device2-3.pgm device6-10.pgm device4-19.pgm sea_snake-2.pgm beetle-12.pgm hammer-5.pgm car-04.pgm cup-18.pgm cup-20.pgm crown-1.pgm bell-20.pgm elephant-7.pgm hat-15.pgm cup-6.pgm personal_car-9.pgm horseshoe-19.pgm hat-17.pgm camel-17.pgm octopus-4.pgm
1 HCircle-10.pgm crown-3.pgm Heart-4.pgm device6-12.pgm HCircle-10.pgm face-7.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm Glas-6.pgm cup-12.pgm lmfish-2.pgm ray-2.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm device9-18.pgm shoe-2.pgm device1-4.pgm
1 face-7.pgm Heart-4.pgm device6-12.pgm pencil-16.pgm HCircle-10.pgm face-7.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm cup-12.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm device9-18.pgm shoe-2.pgm device1-4.pgm sea_snake-15.pgm shoe-13.pgm Heart-6.pgm
1 sea_snake-11.pgm crown-3.pgm Heart-4.pgm device6-12.pgm pencil-16.pgm HCircle-10.pgm face-7.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm Glas-6.pgm cup-12.pgm lmfish-2.pgm ray-2.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm device9-18.pgm shoe-2.pgm
1 device7-10.pgm crown-3.pgm Heart-4.pgm device6-12.pgm HCircle-10.pgm face-7.pgm sea_snake-11.pgm device7-10.pgm jar-11.pgm device7-6.pgm Comma-4.pgm Glas-6.pgm cup-12.pgm lmfish-2.pgm ray-2.pgm device4-4.pgm lmfish-5.pgm device0-20.pgm device9-18.pgm shoe-2.pgm device1-4.pgm
